"state","county","fips_code","geographic_coordinates","days_with_maximum_temperature_above_35_c","days_with_maximum_temperature_above_40c","maximum_of_maximum_temperatures","drought_-_annualized_frequency","wildfire_-_annualized_frequency"
"CA","Los Angeles","6037101110","+34.2594737,-118.2929869","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.858930135786246"
"CA","Los Angeles","6037101122","+34.2677213,-118.2901465","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.971953022339028"
"CA","Los Angeles","6037101210","+34.2529724,-118.2907309","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.832607862461673"
"CA","Los Angeles","6037101220","+34.2516085,-118.2816322","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.692838370565046"
"CA","Los Angeles","6037101300","+34.2487776,-118.2709988","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.964438239159001"
"CA","Los Angeles","6037101400","+34.2428534,-118.2941635","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.988200832238283"
"CA","Los Angeles","6037102103","+34.2250793,-118.3541880","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.969078515111695"
"CA","Los Angeles","6037102104","+34.2161866,-118.3454041","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.962330267192291"
"CA","Los Angeles","6037102105","+34.2098714,-118.3492638","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037102107","+34.2409055,-118.3395158","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.992567345597898"
"CA","Los Angeles","6037103101","+34.2732407,-118.3078874","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.987461673236969"
"CA","Los Angeles","6037103102","+34.2633843,-118.3073883","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037103200","+34.2733521,-118.3402287","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.992047196671047"
"CA","Los Angeles","6037103300","+34.2573787,-118.3554781","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.980877682873412"
"CA","Los Angeles","6037103400","+34.2548355,-118.3139736","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.970077748576434"
"CA","Los Angeles","6037104103","+34.2820993,-118.3925764","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.609108081471748"
"CA","Los Angeles","6037104105","+34.2761482,-118.4046862","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104108","+34.2731497,-118.3985703","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.877559680245291"
"CA","Los Angeles","6037104124","+34.2902413,-118.3739460","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.993826653526062"
"CA","Los Angeles","6037104201","+34.2865005,-118.4160998","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104203","+34.2790581,-118.4115543","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104204","+34.2912875,-118.3931176","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.993073806395094"
"CA","Los Angeles","6037104310","+34.2763731,-118.4292815","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104320","+34.2731324,-118.4202492","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104401","+34.2670388,-118.4327217","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104403","+34.2587738,-118.4344849","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104404","+34.2639207,-118.4286916","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104500","+34.2555108,-118.4257479","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104610","+34.2604355,-118.4189927","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104620","+34.2579043,-118.4224647","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104701","+34.2684745,-118.4152140","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104703","+34.2552325,-118.4005905","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.448642137538327"
"CA","Los Angeles","6037104704","+34.2625316,-118.4088637","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.475114980289093"
"CA","Los Angeles","6037104810","+34.2502996,-118.4111792","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.475676193604906"
"CA","Los Angeles","6037104821","+34.2465705,-118.4162955","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037104822","+34.2458338,-118.4209236","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037106010","+34.3253362,-118.4434108","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.943481712658782"
"CA","Los Angeles","6037106020","+34.3230145,-118.4297390","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.881994634253176"
"CA","Los Angeles","6037106111","+34.3213672,-118.4075050","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.979111914148051"
"CA","Los Angeles","6037106112","+34.3054778,-118.4124465","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.969735545335085"
