"state","county","fips_code","geographic_coordinates","days_with_maximum_temperature_above_35_c","days_with_maximum_temperature_above_40c","maximum_of_maximum_temperatures","drought_annualized_frequency","wildfire_annualized_frequency"
"CA","Los Angeles","06037101110","+34.2594737,-118.2929869","29.77943993","17.26370049","2.630584717","73.11111111","0.0005205"
"CA","Los Angeles","06037101122","+34.2677213,-118.2901465","29.77943993","17.26370049","2.630584717","73.11111111","0.004749204"
"CA","Los Angeles","06037101210","+34.2529724,-118.2907309","29.77943993","17.26370049","2.630584717","73.11111111","0.00037812"
"CA","Los Angeles","06037101220","+34.2516085,-118.2816322","29.77943993","17.26370049","2.630584717","73.11111111","9.42953e-05"
"CA","Los Angeles","06037101300","+34.2487776,-118.2709988","29.77943993","17.26370049","2.630584717","73.11111111","0.003732031"
"CA","Los Angeles","06037101400","+34.2428534,-118.2941635","29.77943993","17.26370049","2.630584717","73.11111111","0.008562025"
"CA","Los Angeles","06037102103","+34.2250793,-118.3541880","29.77943993","17.26370049","2.630584717","73.11111111","0.0042971"
"CA","Los Angeles","06037102104","+34.2161866,-118.3454041","29.77943993","17.26370049","2.630584717","73.11111111","0.003548276"
"CA","Los Angeles","06037102105","+34.2098714,-118.3492638","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037102107","+34.2409055,-118.3395158","29.77943993","17.26370049","2.630584717","73.11111111","0.011116767"
"CA","Los Angeles","06037103101","+34.2732407,-118.3078874","29.77943993","17.26370049","2.630584717","73.11111111","0.008266707"
"CA","Los Angeles","06037103102","+34.2633843,-118.3073883","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037103200","+34.2733521,-118.3402287","29.77943993","17.26370049","2.630584717","73.11111111","0.010755955"
"CA","Los Angeles","06037103300","+34.2573787,-118.3554781","29.77943993","17.26370049","2.630584717","73.11111111","0.006331208"
"CA","Los Angeles","06037103400","+34.2548355,-118.3139736","29.77943993","17.26370049","2.630584717","73.11111111","0.004432176"
"CA","Los Angeles","06037104103","+34.2820993,-118.3925764","29.77943993","17.26370049","2.630584717","73.11111111","4.96204e-05"
"CA","Los Angeles","06037104105","+34.2761482,-118.4046862","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104108","+34.2731497,-118.3985703","29.77943993","17.26370049","2.630584717","73.11111111","0.000665074"
"CA","Los Angeles","06037104124","+34.2902413,-118.3739460","29.77943993","17.26370049","2.630584717","73.11111111","0.012452382"
"CA","Los Angeles","06037104201","+34.2865005,-118.4160998","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104203","+34.2790581,-118.4115543","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104204","+34.2912875,-118.3931176","29.77943993","17.26370049","2.630584717","73.11111111","0.011611671"
"CA","Los Angeles","06037104310","+34.2763731,-118.4292815","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104320","+34.2731324,-118.4202492","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104401","+34.2670388,-118.4327217","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104403","+34.2587738,-118.4344849","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104404","+34.2639207,-118.4286916","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104500","+34.2555108,-118.4257479","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104610","+34.2604355,-118.4189927","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104620","+34.2579043,-118.4224647","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104701","+34.2684745,-118.4152140","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104703","+34.2552325,-118.4005905","29.77943993","17.26370049","2.630584717","73.11111111","1.60085e-05"
"CA","Los Angeles","06037104704","+34.2625316,-118.4088637","29.77943993","17.26370049","2.630584717","73.11111111","1.94867e-05"
"CA","Los Angeles","06037104810","+34.2502996,-118.4111792","29.77943993","17.26370049","2.630584717","73.11111111","1.95965e-05"
"CA","Los Angeles","06037104821","+34.2465705,-118.4162955","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037104822","+34.2458338,-118.4209236","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037106010","+34.3253362,-118.4434108","29.77943993","17.26370049","2.630584717","73.11111111","0.002186581"
"CA","Los Angeles","06037106020","+34.3230145,-118.4297390","29.77943993","17.26370049","2.630584717","73.11111111","0.000708833"
"CA","Los Angeles","06037106111","+34.3213672,-118.4075050","29.77943993","17.26370049","2.630584717","73.11111111","0.005992443"
"CA","Los Angeles","06037106112","+34.3054778,-118.4124465","29.77943993","17.26370049","2.630584717","73.11111111","0.00437889"
"CA","Los Angeles","06037106113","+34.3061792,-118.4222365","29.77943993","17.26370049","2.630584717","73.11111111","2.52517e-05"
"CA","Los Angeles","06037106114","+34.3023558,-118.4268073","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037106403","+34.3060186,-118.4412741","29.77943993","17.26370049","2.630584717","73.11111111","6.59336e-06"
"CA","Los Angeles","06037106405","+34.3146809,-118.4482929","29.77943993","17.26370049","2.630584717","73.11111111","3.68612e-05"
"CA","Los Angeles","06037106406","+34.3228508,-118.4590006","29.77943993","17.26370049","2.630584717","73.11111111","0.000768619"
"CA","Los Angeles","06037106407","+34.3105742,-118.4365572","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037106408","+34.3132613,-118.4400777","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037106510","+34.3264050,-118.4795847","29.77943993","17.26370049","2.630584717","73.11111111","0.004328734"
"CA","Los Angeles","06037106520","+34.3088574,-118.4613524","29.77943993","17.26370049","2.630584717","73.11111111","5.05134e-05"
"CA","Los Angeles","06037106603","+34.3123662,-118.5244831","29.77943993","17.26370049","2.630584717","73.11111111","0.008188348"
"CA","Los Angeles","06037106604","+34.3033292,-118.4745764","29.77943993","17.26370049","2.630584717","73.11111111","0.000286528"
"CA","Los Angeles","06037106641","+34.2984691,-118.5084331","29.77943993","17.26370049","2.630584717","73.11111111","4.82143e-05"
"CA","Los Angeles","06037106642","+34.2863224,-118.5070136","29.77943993","17.26370049","2.630584717","73.11111111","2.57919e-05"
"CA","Los Angeles","06037106643","+34.2894537,-118.5220166","29.77943993","17.26370049","2.630584717","73.11111111","0.001089534"
"CA","Los Angeles","06037106645","+34.2905628,-118.4941725","29.77943993","17.26370049","2.630584717","73.11111111","0.000367838"
"CA","Los Angeles","06037106646","+34.2797379,-118.4939447","29.77943993","17.26370049","2.630584717","73.11111111","1.47813e-05"
"CA","Los Angeles","06037106648","+34.2930983,-118.4558345","29.77943993","17.26370049","2.630584717","73.11111111","1.67159e-05"
"CA","Los Angeles","06037106649","+34.2892618,-118.4606541","29.77943993","17.26370049","2.630584717","73.11111111","0.000154317"
"CA","Los Angeles","06037107010","+34.3020803,-118.4467204","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037107020","+34.2975505,-118.4504793","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037108101","+34.2793058,-118.5416524","29.77943993","17.26370049","2.630584717","73.11111111","3.64312e-05"
